,name,state_name,early_career_pay,make_world_better_percent,stem_percent,year,total_price,net_cost,tuition_higher_than_national_average,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,Total Minority,total_enrollment
0,Adams State University,Colorado,44400.0,56.0,3.0,2017,23746.0,15198.142324,0,1,0,8782.0,9440.0,18222.0,20456.0,29238.0,1213.0,3154.0
1,Agnes Scott College,Georgia,46000.0,57.0,26.0,2017,49330.0,21373.311222,0,0,0,12330.0,41160.0,53490.0,41160.0,53490.0,462.0,873.0
2,Alabama State University,Alabama,39800.0,61.0,16.0,2017,22849.0,16009.418377999998,0,1,0,5422.0,11068.0,16490.0,19396.0,24818.0,5105.0,5519.0
3,Alaska Pacific University,Alaska,50300.0,67.0,6.0,2017,37810.0,18934.813596,0,0,0,7300.0,20830.0,28130.0,20830.0,28130.0,170.0,579.0
4,Albany College of Pharmacy and Health Sciences,New-York,81000.0,82.0,2.0,2017,48969.0,29244.078385999997,1,0,0,10920.0,35105.0,46025.0,35105.0,46025.0,372.0,1563.0
5,Albertus Magnus College,Connecticut,49700.0,62.0,2.0,2017,51792.0,24925.626819999998,0,0,0,13200.0,32060.0,45260.0,32060.0,45260.0,767.0,1550.0
6,Albion College,Michigan,52100.0,44.0,23.0,2017,56750.0,18962.988918,0,0,0,12380.0,45775.0,58155.0,45775.0,58155.0,153.0,1268.0
7,Alcorn State University,Mississippi,40900.0,67.0,19.0,2017,24183.0,16768.770272,0,1,0,9608.0,7144.0,16752.0,7144.0,16752.0,3479.0,3639.0
8,Allen College,Iowa,51600.0,53.8780487804878,0.0,2017,31642.0,0.0,0,0,0,7282.0,19970.0,27252.0,19970.0,27252.0,29.0,575.0
9,Alma College,Michigan,48400.0,52.0,15.0,2017,52475.0,21077.712346,0,0,0,10998.0,40258.0,51256.0,40258.0,51256.0,164.0,1396.0
10,Amherst College,Massachusetts,63800.0,45.0,32.0,2017,71300.0,19226.5877106,0,0,0,14740.0,56426.0,71166.0,56426.0,71166.0,779.0,1792.0
11,Amridge University,Alabama,35700.0,53.8780487804878,0.0,2017,19600.0,3805.4366198000002,0,0,0,10984.052459016393,6900.0,6900.0,6900.0,6900.0,264.0,625.0
12,Andrews University,Michigan,47600.0,51.0,7.0,2017,42209.0,21282.04023,0,0,0,9078.0,29288.0,38366.0,29288.0,38366.0,1569.0,3418.0
13,Appalachian State University,North-Carolina,46600.0,47.0,9.0,2017,19292.5,13509.2500688,0,1,0,8304.0,7214.0,15518.0,22021.0,30325.0,2049.0,18026.0
14,Arizona Christian University,Arizona,42600.0,53.8780487804878,7.0,2017,40568.0,24558.682786,0,0,0,10674.0,26796.0,37470.0,26796.0,37470.0,233.0,737.0
15,Arkansas Tech University,Arkansas,45000.0,54.0,7.0,2017,21638.5,13026.615828,0,1,0,7870.0,9068.0,16938.0,15848.0,23718.0,2239.0,12002.0
16,Asbury University,Kentucky,39400.0,59.0,4.0,2017,40037.5,28515.608942,1,0,0,7160.0,30198.0,37358.0,30198.0,37358.0,254.0,1879.0
17,Auburn University,Alabama,54400.0,51.0,31.0,2017,31282.0,23477.419329999997,0,1,0,13332.0,11276.0,24608.0,30524.0,43856.0,3269.0,25912.0
18,Auburn University at Montgomery,Alabama,45000.0,61.0,12.0,2017,21353.5,15842.644026,0,1,0,6980.0,10288.0,17268.0,22048.0,29028.0,1941.0,5057.0
19,Augusta University,Georgia,47000.0,69.0,10.0,2017,23393.0,17878.001124,0,1,0,9640.0,10758.0,20398.0,29796.0,39436.0,2960.0,7988.0
20,Austin Peay State University,Tennessee,44200.0,63.0,10.0,2017,24224.0,14236.137872000001,0,1,0,10700.0,8411.0,19111.0,24467.0,35167.0,3207.0,10111.0
21,Avila University,Missouri,45900.0,68.0,3.0,2017,40761.0,21140.631456,0,0,0,7200.0,19900.0,27100.0,19900.0,27100.0,577.0,1907.0
22,Babson College,Massachusetts,72000.0,37.0,0.0,2017,68432.0,28642.25246,1,0,0,16312.0,51104.0,67416.0,51104.0,67416.0,701.0,3049.0
23,Baker University,Kansas,47800.0,55.0,2.0,2017,43362.0,21344.609746,0,0,0,8410.0,29830.0,38240.0,29830.0,38240.0,575.0,2957.0
24,Ball State University,Indiana,45600.0,48.0,7.0,2017,24311.0,14963.1331634,0,1,0,10234.0,9896.0,20130.0,26468.0,36702.0,2746.0,20655.0
25,Barnard College,New-York,59200.0,57.0,19.0,2017,71282.0,17758.9064908,0,0,0,17225.0,55032.0,72257.0,55032.0,72257.0,956.0,2573.0
26,Barry University,Florida,47400.0,66.0,12.0,2017,47959.0,21908.499556000002,0,0,0,11100.0,29850.0,40950.0,29850.0,40950.0,4431.0,8518.0
27,Barton College,North-Carolina,42400.0,62.0,6.0,2017,45454.0,24320.958858,0,0,0,10120.0,30880.0,41000.0,30880.0,41000.0,349.0,1035.0
28,Bates College,Maine,59500.0,50.0,23.0,2017,68870.0,16967.5810666,0,0,0,15224.0,53794.0,69018.0,53794.0,69018.0,363.0,1773.0
29,Baylor University,Texas,55500.0,49.0,16.0,2017,60178.5,32709.6928,1,0,0,12595.0,45727.0,58322.0,45727.0,58322.0,4984.0,16263.0
30,Belhaven University,Mississippi,41200.0,60.0,2.0,2017,33550.0,17734.931066,0,0,0,8500.0,25300.0,33800.0,25300.0,33800.0,2508.0,4114.0
31,Bellarmine University,Kentucky,49000.0,54.0,11.0,2017,59306.0,24624.806762,0,0,0,12250.0,42200.0,54450.0,42200.0,54450.0,473.0,3609.0
32,Bellevue College,Washington,50100.0,56.0,14.0,2017,18249.0,8999.595733400001,0,1,1,10984.052459016393,4258.0,4258.0,9689.0,9689.0,5085.0,13469.0
33,Bellevue University,Nebraska,49400.0,57.0,23.0,2017,21243.0,10735.145198000002,0,0,0,8730.0,9390.0,18120.0,9390.0,18120.0,2348.0,9879.0
34,Bellin College,Wisconsin,55800.0,94.0,0.0,2017,32300.0,25083.6,0,0,0,10984.052459016393,22178.0,22178.0,22178.0,22178.0,14.0,351.0
35,Belmont Abbey College,North-Carolina,46700.0,49.0,7.0,2017,32247.0,22054.57156,0,0,0,10355.0,18500.0,28855.0,18500.0,28855.0,438.0,1560.0
36,Belmont University,Tennessee,47300.0,47.0,3.0,2017,50740.0,33586.204544,1,0,0,12120.0,34310.0,46430.0,34310.0,46430.0,1029.0,7244.0
37,Beloit College,Wisconsin,47400.0,59.0,24.0,2017,59446.0,14040.079253,0,0,0,8830.0,50040.0,58870.0,50040.0,58870.0,231.0,1303.0
38,Benedict College,South-Carolina,38100.0,61.0,19.0,2017,35791.0,22169.67188,0,0,0,6200.0,16600.0,22800.0,16600.0,22800.0,2432.0,2444.0
39,Benedictine College,Kansas,48700.0,69.0,13.0,2017,42530.0,23501.96969,0,0,0,10300.0,29530.0,39830.0,29530.0,39830.0,318.0,2138.0
40,Bennington College,Vermont,48800.0,50.0,5.0,2017,70760.0,29308.415549999998,1,0,0,15610.0,54360.0,69970.0,54360.0,69970.0,110.0,755.0
41,Bentley University,Massachusetts,66600.0,36.0,7.0,2017,66180.0,30124.801704,1,0,0,16320.0,49880.0,66200.0,49880.0,66200.0,1013.0,5565.0
42,Berea College,Kentucky,39500.0,53.0,27.0,2017,35394.0,2918.2222704200003,0,0,0,6764.0,39990.0,46754.0,39990.0,46754.0,456.0,1621.0
43,Berry College,Georgia,44900.0,44.0,21.0,2017,50274.0,23426.019932000003,0,0,0,12770.0,36556.0,49326.0,36556.0,49326.0,320.0,2177.0
44,Black Hills State University,South-Dakota,40400.0,51.0,11.0,2017,20922.0,16356.427862,0,1,0,6978.0,8733.0,15711.0,11778.0,18756.0,536.0,4489.0
45,Bloomfield College,New-Jersey,48400.0,55.0,17.0,2017,45600.0,22280.144256,0,0,0,11950.0,29550.0,41500.0,29550.0,41500.0,1615.0,2004.0
46,Bluefield State College,West-Virginia,43200.0,60.0,3.0,2017,23028.0,11290.918867,0,1,0,10984.052459016393,8820.0,8820.0,16920.0,16920.0,197.0,1563.0
47,Boise State University,Idaho,50100.0,55.0,14.0,2017,21398.0,15855.083606,0,1,0,10692.0,7694.0,18386.0,23776.0,34468.0,3842.0,22227.0
48,Boston College,Massachusetts,63600.0,43.0,13.0,2017,68842.0,21309.5614238,0,0,0,14478.0,55464.0,69942.0,55464.0,69942.0,3348.0,14317.0
49,Boston University,Massachusetts,61400.0,43.0,25.0,2017,70302.0,33065.07789,1,0,0,15720.0,53948.0,69668.0,53948.0,69668.0,7986.0,32112.0
50,Bowdoin College,Maine,61300.0,54.0,37.0,2017,68070.0,19414.116115999997,0,0,0,14698.0,53922.0,68620.0,53922.0,68620.0,550.0,1805.0
51,Bowie State University,Maryland,50300.0,65.0,11.0,2017,23874.0,16729.21563,0,1,0,10904.0,8233.0,19137.0,18873.0,29777.0,5162.0,5695.0
52,Bradley University,Illinois,55600.0,46.0,38.0,2017,46680.0,23438.952996,0,0,0,10620.0,33760.0,44380.0,33760.0,44380.0,755.0,5300.0
53,Brandeis University,Massachusetts,60600.0,48.0,29.0,2017,69287.0,26741.631914000005,1,0,0,15440.0,55395.0,70835.0,55395.0,70835.0,1307.0,5945.0
54,Brescia University,Kentucky,44300.0,53.0,7.0,2017,35075.0,14028.799082000001,0,0,0,9200.0,22400.0,31600.0,22400.0,31600.0,210.0,1056.0
55,Brown University,Rhode-Island,68200.0,45.0,43.0,2017,71050.0,18525.620357,0,0,0,14670.0,55656.0,70326.0,55656.0,70326.0,2958.0,9181.0
56,Bryant University,Rhode-Island,60500.0,37.0,8.0,2017,57756.5,35444.264173999996,1,0,0,15702.0,43973.0,59675.0,43973.0,59675.0,563.0,3462.0
57,Bucknell University,Pennsylvania,66700.0,40.0,40.0,2017,70125.0,33168.502590000004,1,0,0,13662.0,56092.0,69754.0,56092.0,69754.0,552.0,3624.0
58,Butler University,Indiana,51800.0,53.0,9.0,2017,56740.0,34928.762127999995,1,0,0,13830.0,41120.0,54950.0,41120.0,54950.0,546.0,4848.0
59,California Institute of Technology,California,84100.0,53.0,97.0,2017,68836.5,17876.24651148,0,0,0,15525.0,52362.0,67887.0,52362.0,67887.0,853.0,2209.0
60,Calvin College,Michigan,50200.0,54.0,23.0,2017,46790.0,24402.116764,0,0,0,10200.0,34600.0,44800.0,34600.0,44800.0,523.0,3993.0
61,Cameron University,Oklahoma,43900.0,54.0,14.0,2017,17860.5,10841.246312,0,1,0,5452.0,6450.0,11902.0,15870.0,21322.0,2357.0,5537.0
62,Campbell University,North-Carolina,46300.0,56.0,8.0,2017,47940.0,24594.945054,0,0,0,11430.0,32500.0,43930.0,32500.0,43930.0,1643.0,6101.0
63,Campbellsville University,Kentucky,37600.0,50.0,7.0,2017,39171.0,20887.626452,0,0,0,8000.0,25400.0,33400.0,25400.0,33400.0,499.0,3427.0
64,Cardinal Stritch University,Wisconsin,47000.0,51.0,2.0,2017,42023.5,17672.195207999997,0,0,0,8440.0,29998.0,38438.0,29998.0,38438.0,1308.0,3811.0
65,Carleton College,Minnesota,58800.0,47.0,45.0,2017,68835.0,21621.374762,0,0,0,14085.0,54759.0,68844.0,54759.0,68844.0,491.0,2057.0
66,Carnegie Mellon University,Pennsylvania,75900.0,45.0,66.0,2017,70094.0,25105.777704,0,0,0,14418.0,55465.0,69883.0,55465.0,69883.0,3392.0,12587.0
67,Carroll College,Montana,48200.0,55.0,25.0,2017,48538.0,24888.957684,0,0,0,9880.0,35486.0,45366.0,35486.0,45366.0,148.0,1440.0
68,Carroll University,Wisconsin,45600.0,49.0,14.0,2017,44001.0,22081.551052000003,0,0,0,9484.0,31918.0,41402.0,31918.0,41402.0,416.0,3446.0
69,Carson-Newman University,Tennessee,42700.0,61.0,5.0,2017,40128.0,19269.247484,0,0,0,8810.0,27900.0,36710.0,27900.0,36710.0,203.0,2362.0
70,Carthage College,Wisconsin,48900.0,48.0,17.0,2017,57250.0,26746.191298,1,0,0,11990.0,43550.0,55540.0,43550.0,55540.0,402.0,2948.0
71,Case Western Reserve University,Ohio,66600.0,44.0,37.0,2017,65384.0,30851.051216,1,0,0,15190.0,49042.0,64232.0,49042.0,64232.0,2838.0,10771.0
72,Catawba College,North-Carolina,42500.0,58.0,11.0,2017,43754.5,20027.350938,0,0,0,10488.0,30520.0,41008.0,30520.0,41008.0,368.0,1300.0
73,Centenary College of Louisiana,Louisiana,47000.0,37.0,26.0,2017,51550.0,24329.650002,0,0,0,13400.0,36580.0,49980.0,36580.0,49980.0,173.0,619.0
74,Central Baptist College,Arkansas,36900.0,53.8780487804878,3.0,2017,25801.0,17591.715506,0,0,0,7500.0,16200.0,23700.0,16200.0,23700.0,235.0,858.0
75,Central Christian College of Kansas,Kansas,37100.0,53.8780487804878,2.0,2017,28520.0,13597.464645999999,0,0,0,8286.0,26674.0,34960.0,26674.0,34960.0,369.0,1165.0
