group	id	sample_id	quarry	d18O	d13C	dolomite	epr_intens	epr_linwid	colour	mgs
1	1	M1	Golluce	-4.65	4.86	18	128.2	65.8	90.6	1.7
1	2	M2	Golluce	-3.5	5.05	0	63.7	62.6	87.5	1.3
1	3	M3	Golluce	-3.98	4.81	0	90.3	58.5	84.7	1.6
1	4	M4	Golluce	-6.83	4.28	16	77.5	47.1	85.9	1.8
1	5	M5	Golluce	-5.51	4.18	25	281.4	66.9	70.6	0.9
1	6	M6	Golluce	-4.91	4.7	30	240.8	66.9	82.4	1.5
1	7	M7	Golluce	-5.43	3.88	24	513.1	71.2	85.5	1.5
1	8	M8	Golluce	-8.03	4.24	21	180.4	55.3	80.4	1.3
1	9	M9	Golluce	-4.58	4.82	0	183.2	66.9	87.1	1.8
1	10	M10	Golluce	-3.42	4.92	23	100.3	62.8	81.6	1.7
1	11	M11	Golluce	-5.51	4.15	21	116.9	64.7	85.5	1.5
1	12	B1	Urfali	-6.92	3.37	28	71.6	52.5	74.1	1.3
1	13	B2	Urfali	-4.41	4.43	24	25.6	56.9	76.5	1.6
1	14	B3	Urfali	-4.64	3.98	13	64.9	52.7	68.2	1.5
1	15	B4	Urfali	-4.3	4.08	42	33.3	51.5	65.9	1.8
1	16	B6	Urfali	-4.5	4.04	21	78.6	55.8	68.6	1.9
1	17	B7	Urfali	-5.11	4.27	0	43.9	57.1	73.7	1.4
1	18	B8	Urfali	-7.72	3.62	17	17.3	51.1	71.8	1.7
1	19	BI1cor	Urfali	-8.26	2.84	26	45	51.4	70.2	2.1
1	20	BI2cor	Urfali	-4.68	3.88	16	43.6	53.7	72.2	1.9
1	21	BI3cor	Urfali	-4.73	3.41	10	43.6	50.2	75.7	2.4
1	22	BI4cor	Urfali	-5.43	3.46	35	44.1	54.6	41.2	1.6
1	23	TRB1	Torbali	-5.52	3.8	24	26.6	69.7	80.4	1.4
1	24	TRB2	Torbali	-4.4	3.73	24	17.8	58.9	82.4	2.2
1	25	TRB3	Torbali	-2.25	4.26	36	35.4	72.7	73.7	1.55
1	26	TRB4	Torbali	-3.96	3.88	16	26.4	64.1	73.3	2
1	27	TRB5	Torbali	-2.19	4.24	0	15.7	54.7	74.1	3
1	28	TRB6	Torbali	-3.25	4.05	12	22.9	60.4	76.9	1.4
1	29	TRB7	Torbali	-2.32	4.2	0	25.6	64.3	69.8	1.5
1	30	TRB8	Torbali	-2.61	3.88	0	24.2	64.3	78.8	2.2
1	31	TRB9	Torbali	-4.48	2.37	0	37.6	53.2	83.5	2
1	32	TRB10	Torbali	-2.74	3.95	17	28.5	67	78	2.2
1	33	TRB11	Torbali	-5.04	3.8	16	22.3	56.1	78.8	1.4
1	34	TRB12	Torbali	-3.65	3.93	0	24.4	57.4	76.1	2
1	35	AHL1	Ahmetli	-3.7	3.62	17	41	55.7	63.9	2
1	36	AHL2	Ahmetli	-3.75	3.54	0	34.8	60.1	64.3	1.8
1	37	AHL3	Ahmetli	-3.77	3.55	0	31.3	60	64.3	2
1	38	AHL4	Ahmetli	-3.4	3.54	22	42.8	61.9	72.2	3.2
1	39	AHL5	Ahmetli	-4.38	3.4	17	68.9	54.5	70.2	1.4
1	40	AHL6	Ahmetli	-3.47	3.57	22	62.1	59.1	75.7	4.6
1	41	AHL7	Ahmetli	-4.85	3.87	19	49.4	57.3	78.8	1.5
1	42	AHL8	Ahmetli	-3.84	4.14	0	40.7	54.7	78	1.4
1	43	AHL9	Ahmetli	-4.3	3.49	43	60.5	66.1	69.8	1.7
1	44	AHL10	Ahmetli	-3.04	3.8	10	51.2	58.7	79.6	2
1	45	AHL11	Ahmetli	-3.75	3.3	13	36.1	50.6	80	1.7
1	46	AHL12	Ahmetli	-3.64	4.04	0	36.6	55.9	79.2	1.5
1	47	AHL13	Ahmetli	-3.77	3.3	15	28.4	58.7	68.2	1.8
1	48	AHL14	Ahmetli	-3.66	2.98	0	17.3	48.9	82.4	3.4
1	49	AHL15	Ahmetli	-4.55	3.56	11	49	58.7	77.6	1.3
1	50	AHL16	Ahmetli	-4.3	3.52	22	31.7	58.7	68.2	1.2
1	51	KC1.1	Keftli	-3.4	4	0	26.4	52.1	73.7	2
1	52	KC1.2	Keftli	-5.74	3.57	15	52.4	48.1	71	1.3
1	53	KC1.3	Keftli	-5.78	3.48	12	44.6	58.6	69.8	2
1	54	KC1.4	Keftli	-5.4	3.15	24	43.8	54.8	76.1	1.15
1	55	KC1.5	Keftli	-5.81	2.91	49	68.1	49.8	67.1	1.3
1	56	KC1.6	Keftli	-5.79	2.8	39	47	56.2	73.7	0.4
1	57	KC1.7	Keftli	-3.77	3.79	19	48.3	54.7	74.9	1.4
1	58	KC1.8	Keftli	-3.46	4.02	0	28	46.6	71	1.55
1	59	KC1.9	Keftli	-4.95	3.13	53	63.9	53.2	73.7	0.9
1	60	KC1.10	Keftli	-4.55	3.97	14	43.8	46.8	65.1	1.3
1	61	KC1.11	Keftli	-5.43	3.41	42	76.2	53.7	69	1.25
1	62	KC1.12	Keftli	-7.63	-0.6	16	82.4	52.1	71.8	1.05
1	63	KC2.1	Keftli	-5.54	3.54	26	77.4	53.7	60.8	0.9
1	64	KC2.2	Keftli	-4.38	3.51	27	63.6	53.5	63.5	1.9
1	65	KC2.3	Keftli	-4.13	4.03	0	46	52.1	67.1	2.5
1	66	KC2.4	Keftli	-4.97	3.67	11	67.9	53.5	75.3	1.55
1	67	HC2.1	HC2	-3.89	4	0	28.5	55.3	77.6	1.7
1	68	HC2.2	HC2	-3.99	4.16	0	34.2	49.7	81.6	1.8
1	69	HC2.3	HC2	-2.39	4.51	0	14.7	51.2	77.3	1.6
1	70	HC2.4	HC2	-2.86	4.29	21	32.4	51	76.9	2
1	71	HC2.5	HC2	-3.07	4.2	0	17.3	45.4	81.6	1.4
1	72	HC3.1	HC3	-5.9	3.66	13	34.1	55.1	81.6	1.4
1	73	HC3.2	HC3	-4.18	3.92	0	36	62	74.9	1.6
1	74	HC3.3	HC3	-7.78	2.59	0	86.9	42.8	81.6	2.1
1	75	HC3.4	HC3	-2.65	4.48	21	35.6	60.5	74.5	1.8
1	76	HC3.5	HC3	-3.33	4.15	17	37.7	54.9	78.8	2
1	77	HC4.1	HC4	-3.01	4.68	0	48.5	60.4	78	1.6
